date,pce,pop,  psavert  ,uempmed,unemploy
4/1/72,753.8,209386,$11.30 ,670.00%,4959
5/1/72,759.2,209545,$11.50 ,660.00%,4922
6/1/72,762.9,209725,$11.40 ,540.00%,4923
7/1/72,771.2,209896,$11.40 ,610.00%,4913
8/1/72,777.7,210075,$11.80 ,600.00%,4939
9/1/72,782.5,210278,$12.00 ,560.00%,4849
10/1/72,796.3,210479,$12.70 ,570.00%,4875
11/1/72,801.8,210656,$13.40 ,570.00%,4602
12/1/72,807.5,210821,$13.40 ,610.00%,4543
1/1/73,817.9,210985,$12.10 ,570.00%,4326
2/1/73,827.2,211120,$12.20 ,520.00%,4452
3/1/73,834.2,211254,$12.40 ,550.00%,4394
4/1/73,837.2,211420,$12.80 ,500.00%,4459
5/1/73,843.1,211577,$12.80 ,490.00%,4329
6/1/73,845.8,211746,$13.20 ,500.00%,4363
7/1/73,855.7,211909,$12.80 ,520.00%,4305
8/1/73,854.9,212092,$13.60 ,490.00%,4305
9/1/73,870.9,212289,$12.80 ,540.00%,4350
10/1/73,869.8,212475,$14.00 ,550.00%,4144
11/1/73,878.6,212634,$14.00 ,510.00%,4396
12/1/73,878.4,212785,$14.40 ,470.00%,4489
1/1/74,886.4,212932,$14.00 ,500.00%,4644
2/1/74,891.6,213074,$13.80 ,510.00%,4731
3/1/74,903.3,213211,$13.00 ,480.00%,4634
4/1/74,912.7,213361,$12.70 ,500.00%,4618
5/1/74,924.3,213513,$12.30 ,460.00%,4705
6/1/74,929.9,213686,$12.50 ,530.00%,4927
7/1/74,939.8,213854,$12.70 ,570.00%,5063
8/1/74,956.6,214042,$11.60 ,500.00%,5022
9/1/74,956.8,214246,$12.30 ,530.00%,5437
10/1/74,961,214451,$13.00 ,550.00%,5523
11/1/74,958,214625,$13.40 ,520.00%,6140
12/1/74,963.6,214782,$13.60 ,570.00%,6636
1/1/75,977.4,214931,$12.80 ,630.00%,7501
2/1/75,991.3,215065,$12.10 ,710.00%,7520
3/1/75,992.6,215198,$12.30 ,720.00%,7978
4/1/75,997.2,215353,$13.90 ,870.00%,8210
5/1/75,1021.2,215523,$17.00 ,940.00%,8433
6/1/75,1029.1,215768,$13.90 ,880.00%,8220
7/1/75,1042.2,215973,$12.30 ,860.00%,8127
8/1/75,1049.4,216195,$12.60 ,920.00%,7928
9/1/75,1057.2,216393,$12.60 ,920.00%,7923
10/1/75,1063.2,216587,$13.00 ,860.00%,7897
11/1/75,1078,216771,$12.30 ,950.00%,7794
12/1/75,1094.4,216931,$11.50 ,900.00%,7744
1/1/76,1109.5,217095,$11.30 ,900.00%,7534
2/1/76,1110.1,217249,$11.90 ,820.00%,7326
3/1/76,1117.3,217381,$11.80 ,870.00%,7230
4/1/76,1127.8,217528,$11.20 ,820.00%,7330
5/1/76,1125.1,217685,$11.80 ,830.00%,7053
6/1/76,1142.9,217861,$10.90 ,780.00%,7322
7/1/76,1152.1,218035,$11.20 ,770.00%,7490
8/1/76,1160.5,218233,$11.20 ,790.00%,7518
9/1/76,1171.4,218440,$10.80 ,780.00%,7380
10/1/76,1179.5,218644,$10.60 ,770.00%,7430
11/1/76,1191.7,218834,$10.90 ,840.00%,7620
12/1/76,1214.1,219006,$9.90 ,800.00%,7545
1/1/77,1217.4,219179,$9.80 ,750.00%,7280
2/1/77,1233.7,219344,$8.50 ,720.00%,7443
3/1/77,1240.7,219504,$9.80 ,720.00%,7307
4/1/77,1249.7,219684,$9.90 ,730.00%,7059
5/1/77,1259.6,219859,$9.80 ,790.00%,6911
6/1/77,1266.3,220046,$10.20 ,620.00%,7134
7/1/77,1283.2,220239,$10.10 ,710.00%,6829
8/1/77,1288.5,220458,$10.50 ,700.00%,6925
9/1/77,1297.4,220688,$10.70 ,670.00%,6751
10/1/77,1314.3,220904,$10.70 ,690.00%,6763
11/1/77,1330,221109,$10.80 ,700.00%,6815
12/1/77,1339.3,221303,$11.00 ,680.00%,6386
1/1/78,1333,221477,$11.40 ,650.00%,6489
2/1/78,1358.9,221629,$10.70 ,670.00%,6318
3/1/78,1381.4,221792,$10.50 ,620.00%,6337
4/1/78,1400.2,221991,$10.30 ,610.00%,6180
5/1/78,1415.9,222176,$9.80 ,570.00%,6127
6/1/78,1429.8,222379,$9.50 ,600.00%,6028
7/1/78,1430.8,222585,$10.30 ,580.00%,6309
8/1/78,1451,222805,$9.90 ,580.00%,6080
9/1/78,1456.9,223053,$10.00 ,560.00%,6125
10/1/78,1471,223271,$10.20 ,590.00%,5947
11/1/78,1484.7,223477,$10.00 ,550.00%,6077
12/1/78,1500.5,223670,$10.00 ,560.00%,6228
1/1/79,1506.3,223865,$10.60 ,590.00%,6109
2/1/79,1521.6,224053,$10.50 ,590.00%,6173
3/1/79,1535,224235,$10.70 ,590.00%,6109
4/1/79,1542.3,224438,$10.40 ,540.00%,6069
5/1/79,1562.7,224632,$9.80 ,560.00%,5840
6/1/79,1579.6,224843,$9.30 ,560.00%,5959
7/1/79,1590.1,225055,$10.00 ,590.00%,5996
8/1/79,1619.7,225295,$9.20 ,480.00%,6320
9/1/79,1638.1,225547,$8.90 ,550.00%,6190
10/1/79,1646,225801,$9.30 ,550.00%,6296
11/1/79,1661.7,226027,$9.40 ,530.00%,6238
12/1/79,1670.7,226243,$9.80 ,570.00%,6325
1/1/80,1701.6,226451,$9.60 ,530.00%,6683
2/1/80,1705.6,226656,$9.80 ,580.00%,6702
3/1/80,1712.4,226849,$9.80 ,600.00%,6729
4/1/80,1699.5,227061,$10.50 ,580.00%,7358
5/1/80,1704.3,227251,$10.60 ,570.00%,7984
6/1/80,1723,227522,$10.40 ,640.00%,8098
7/1/80,1751.2,227726,$10.50 ,700.00%,8363
8/1/80,1767.7,227953,$10.60 ,750.00%,8281
9/1/80,1784.1,228186,$11.10 ,770.00%,8021
10/1/80,1820.4,228417,$11.00 ,750.00%,8088
11/1/80,1830.2,228612,$11.50 ,770.00%,8023
12/1/80,1855.5,228779,$11.20 ,750.00%,7718
1/1/81,1874.7,228937,$10.50 ,740.00%,8071
2/1/81,1889.4,229071,$10.40 ,710.00%,8051
3/1/81,1908.1,229224,$10.30 ,710.00%,7982
4/1/81,1909.1,229403,$10.30 ,740.00%,7869
5/1/81,1918.2,229575,$10.40 ,690.00%,8174
6/1/81,1938.5,229761,$10.20 ,660.00%,8098
7/1/81,1945.7,229966,$11.70 ,710.00%,7863
8/1/81,1969.8,230187,$11.40 ,720.00%,8036
9/1/81,1968.2,230412,$11.90 ,680.00%,8230
10/1/81,1966.2,230641,$12.50 ,680.00%,8646
11/1/81,1972.4,230822,$12.70 ,690.00%,9029
12/1/81,1989.9,230989,$12.00 ,690.00%,9267
1/1/82,1997.4,231157,$12.20 ,710.00%,9397
2/1/82,2021.4,231313,$11.60 ,750.00%,9705
3/1/82,2024.4,231470,$11.70 ,770.00%,9895
4/1/82,2027.2,231645,$12.40 ,810.00%,10244
5/1/82,2045.9,231809,$11.70 ,850.00%,10335
6/1/82,2050.2,231992,$11.60 ,950.00%,10538
7/1/82,2075.1,232188,$12.00 ,850.00%,10849
8/1/82,2083.7,232392,$11.90 ,870.00%,10881
9/1/82,2108.9,232599,$11.10 ,950.00%,11217
10/1/82,2130.7,232816,$10.70 ,970.00%,11529
11/1/82,2154.7,232993,$10.30 ,1000.00%,11938
12/1/82,2167.4,233160,$10.30 ,1020.00%,12051
1/1/83,2180.1,233322,$10.40 ,1110.00%,11534
2/1/83,2183.1,233473,$10.50 ,980.00%,11545
3/1/83,2208.6,233613,$10.00 ,1040.00%,11408
4/1/83,2231.8,233781,$9.60 ,1090.00%,11268
5/1/83,2251,233922,$9.40 ,1230.00%,11154
6/1/83,2280.8,234118,$8.50 ,1130.00%,11246
7/1/83,2309,234307,$9.00 ,1010.00%,10548
8/1/83,2324.8,234501,$8.70 ,930.00%,10623
9/1/83,2339.1,234701,$9.00 ,930.00%,10282
10/1/83,2361.8,234907,$9.10 ,940.00%,9887
11/1/83,2370.4,235078,$9.70 ,930.00%,9499
12/1/83,2397.9,235235,$9.50 ,870.00%,9331
1/1/84,2423.8,235385,$9.40 ,910.00%,9008
2/1/84,2408.1,235527,$11.10 ,830.00%,8791
3/1/84,2436.4,235675,$10.90 ,830.00%,8746
4/1/84,2462.6,235839,$10.90 ,820.00%,8762
5/1/84,2479.8,235993,$10.50 ,910.00%,8456
6/1/84,2501.2,236160,$10.50 ,750.00%,8226
7/1/84,2500.5,236348,$11.00 ,750.00%,8537
8/1/84,2518.4,236549,$11.20 ,730.00%,8519
9/1/84,2540.3,236760,$11.20 ,760.00%,8367
10/1/84,2538.2,236976,$11.20 ,720.00%,8381
11/1/84,2578.6,237159,$10.30 ,720.00%,8198
12/1/84,2590,237316,$10.60 ,730.00%,8358
1/1/85,2626.3,237468,$9.70 ,680.00%,8423
2/1/85,2648.6,237602,$8.50 ,710.00%,8321
3/1/85,2656.8,237732,$8.10 ,710.00%,8339
4/1/85,2668.4,237900,$9.40 ,690.00%,8395
5/1/85,2705.9,238074,$10.50 ,690.00%,8302
6/1/85,2699.3,238270,$9.00 ,660.00%,8460
7/1/85,2725.9,238466,$8.50 ,690.00%,8513
8/1/85,2762.7,238679,$7.50 ,710.00%,8196
9/1/85,2805.6,238898,$6.70 ,690.00%,8248
10/1/85,2767.1,239113,$8.50 ,710.00%,8298
11/1/85,2782.7,239307,$8.40 ,700.00%,8128
12/1/85,2822.8,239477,$8.00 ,680.00%,8138
1/1/86,2838.3,239638,$8.00 ,670.00%,7795
2/1/86,2831.2,239788,$8.70 ,690.00%,8402
3/1/86,2834.7,239928,$9.30 ,680.00%,8383
4/1/86,2846.5,240094,$9.10 ,670.00%,8364
5/1/86,2869,240271,$8.60 ,680.00%,8439
6/1/86,2873.5,240459,$8.80 ,700.00%,8508
7/1/86,2893.4,240651,$8.70 ,690.00%,8319
8/1/86,2911.1,240854,$8.40 ,710.00%,8135
9/1/86,2984.6,241068,$6.60 ,740.00%,8310
10/1/86,2945.9,241274,$7.80 ,700.00%,8243
11/1/86,2941.7,241467,$8.20 ,710.00%,8159
12/1/86,3010.8,241620,$6.40 ,710.00%,7883
1/1/87,2949.9,241784,$9.10 ,690.00%,7892
2/1/87,3016.5,241930,$7.90 ,660.00%,7865
3/1/87,3028.4,242079,$7.90 ,660.00%,7862
4/1/87,3054.1,242252,$3.80 ,710.00%,7542
5/1/87,3063.9,242423,$7.50 ,660.00%,7574
6/1/87,3088.4,242608,$7.00 ,650.00%,7398
7/1/87,3110.7,242804,$6.80 ,650.00%,7268
8/1/87,3147,243012,$6.50 ,640.00%,7261
9/1/87,3142.9,243223,$7.00 ,600.00%,7102
10/1/87,3151.1,243446,$7.60 ,630.00%,7227
11/1/87,3160.9,243639,$7.90 ,620.00%,7035
12/1/87,3190.9,243809,$8.00 ,600.00%,6936
1/1/88,3230.7,243981,$7.50 ,620.00%,6953
2/1/88,3238.5,244131,$7.90 ,630.00%,6929
3/1/88,3277.8,244279,$7.50 ,640.00%,6876
4/1/88,3280.4,244445,$8.10 ,590.00%,6601
5/1/88,3311,244610,$7.70 ,590.00%,6779
6/1/88,3335.6,244806,$7.80 ,580.00%,6546
7/1/88,3359.3,245021,$7.90 ,610.00%,6605
8/1/88,3384.3,245240,$7.80 ,590.00%,6843
9/1/88,3391.4,245464,$8.20 ,570.00%,6604
10/1/88,3430.4,245693,$8.00 ,560.00%,6568
11/1/88,3447,245884,$7.70 ,570.00%,6537
12/1/88,3476.3,246056,$7.70 ,590.00%,6518
1/1/89,3499.9,246224,$8.00 ,560.00%,6682
2/1/89,3503.9,246378,$8.40 ,540.00%,6359
3/1/89,3514.5,246530,$8.90 ,540.00%,6205
4/1/89,3558.6,246721,$7.90 ,540.00%,6468
5/1/89,3567.5,246906,$7.60 ,530.00%,6375
6/1/89,3582.4,247114,$7.60 ,540.00%,6577
7/1/89,3601.7,247342,$7.70 ,560.00%,6495
8/1/89,3636.8,247573,$7.10 ,500.00%,6511
9/1/89,3638.1,247816,$7.50 ,490.00%,6590
10/1/89,3650,248067,$7.90 ,490.00%,6630
11/1/89,3659.7,248281,$8.00 ,480.00%,6725
12/1/89,3700.7,248479,$7.20 ,490.00%,6667
1/1/90,3747.2,248659,$7.40 ,510.00%,6752
2/1/90,3744.8,248827,$8.10 ,530.00%,6651
3/1/90,3771.5,249012,$7.80 ,510.00%,6598
4/1/90,3786.7,249306,$8.20 ,480.00%,6797
5/1/90,3792.5,249565,$8.00 ,520.00%,6742
6/1/90,3821.3,249849,$7.90 ,520.00%,6590
7/1/90,3838.5,250132,$8.00 ,540.00%,6922
8/1/90,3865,250439,$7.50 ,540.00%,7188
9/1/90,3886.7,250751,$7.50 ,560.00%,7368
10/1/90,3887.1,251057,$7.30 ,580.00%,7459
11/1/90,3888.4,251346,$7.40 ,570.00%,7764
12/1/90,3877.8,251626,$8.20 ,590.00%,7901
1/1/91,3857.6,251889,$8.70 ,600.00%,8015
2/1/91,3883.3,252135,$8.30 ,620.00%,8265
3/1/91,3929.7,252372,$7.40 ,670.00%,8586
4/1/91,3923.9,252643,$8.00 ,660.00%,8439
5/1/91,3950,252913,$7.70 ,640.00%,8736
6/1/91,3957.1,253207,$8.20 ,690.00%,8692
7/1/91,3982.4,253493,$7.60 ,700.00%,8586
8/1/91,3985.4,253807,$7.90 ,730.00%,8666
9/1/91,4001.2,254126,$8.10 ,680.00%,8722
10/1/91,3992.9,254435,$8.60 ,720.00%,8842
11/1/91,4020.6,254718,$8.40 ,750.00%,8931
12/1/91,4037.7,254964,$9.10 ,780.00%,9198
1/1/92,4101.9,255214,$8.80 ,810.00%,9283
2/1/92,4116.8,255448,$9.20 ,820.00%,9454
3/1/92,4134.3,255703,$9.20 ,830.00%,9460
4/1/92,4149,255992,$9.40 ,850.00%,9415
5/1/92,4176.1,256285,$9.40 ,880.00%,9744
6/1/92,4195,256589,$9.50 ,870.00%,10040
7/1/92,4223,256894,$9.10 ,860.00%,9850
8/1/92,4239.3,257232,$9.20 ,880.00%,9787
9/1/92,4273.9,257548,$8.20 ,860.00%,9781
10/1/92,4303.5,257861,$7.40 ,900.00%,9398
11/1/92,4319.5,258147,$7.30 ,900.00%,9565
12/1/92,4355.6,258413,$9.90 ,930.00%,9557
1/1/93,4359.7,258679,$8.30 ,860.00%,9325
2/1/93,4374.3,258919,$8.40 ,850.00%,9183
3/1/93,4371.4,259152,$8.30 ,850.00%,9056
4/1/93,4412.4,259414,$8.20 ,840.00%,9110
5/1/93,4441.3,259680,$7.70 ,810.00%,9149
6/1/93,4458.8,259963,$7.20 ,830.00%,9121
7/1/93,4487.7,260255,$7.00 ,820.00%,8930
8/1/93,4499.9,260566,$7.10 ,820.00%,8763
9/1/93,4530.5,260867,$6.30 ,830.00%,8714
10/1/93,4552,261163,$5.60 ,800.00%,8750
11/1/93,4573.4,261425,$5.60 ,830.00%,8542
12/1/93,4590.7,261674,$8.40 ,830.00%,8477
1/1/94,4604.8,261919,$6.40 ,860.00%,8630
2/1/94,4652.3,262123,$5.90 ,920.00%,8583
3/1/94,4665.4,262352,$6.20 ,930.00%,8470
4/1/94,4690.7,262631,$5.80 ,910.00%,8331
5/1/94,4689.2,262877,$7.10 ,920.00%,7915
6/1/94,4728.8,263152,$6.30 ,930.00%,7927
7/1/94,4740.8,263436,$6.40 ,900.00%,7946
8/1/94,4783,263724,$5.90 ,890.00%,7933
9/1/94,4795.5,264017,$6.20 ,920.00%,7734
10/1/94,4833.3,264301,$6.50 ,1000.00%,7632
11/1/94,4846,264559,$6.40 ,900.00%,7375
12/1/94,4862.3,264804,$6.50 ,870.00%,7230
1/1/95,4871.9,265044,$6.90 ,800.00%,7375
2/1/95,4871.7,265270,$7.30 ,810.00%,7187
3/1/95,4906.5,265495,$7.00 ,830.00%,7153
4/1/95,4911.5,265755,$6.30 ,830.00%,7645
5/1/95,4954.4,265998,$6.50 ,910.00%,7430
6/1/95,4999,266270,$6.10 ,790.00%,7427
7/1/95,4991.8,266557,$6.40 ,850.00%,7527
8/1/95,5027.1,266843,$6.10 ,830.00%,7484
9/1/95,5042.5,267152,$6.10 ,790.00%,7478
10/1/95,5035.9,267456,$6.50 ,820.00%,7328
11/1/95,5077.8,267715,$6.00 ,800.00%,7426
12/1/95,5120.1,267943,$5.50 ,830.00%,7423
1/1/96,5108.9,268151,$6.10 ,830.00%,7491
2/1/96,5156.1,268364,$6.10 ,780.00%,7313
3/1/96,5196.4,268595,$6.00 ,830.00%,7318
4/1/96,5231.6,268853,$5.00 ,860.00%,7415
5/1/96,5247.2,269108,$6.10 ,860.00%,7423
6/1/96,5253.7,269386,$6.50 ,830.00%,7095
7/1/96,5275.8,269667,$6.10 ,830.00%,7337
8/1/96,5299,269976,$5.90 ,840.00%,6882
9/1/96,5320,270284,$6.00 ,850.00%,6979
10/1/96,5351.5,270581,$5.80 ,830.00%,7031
11/1/96,5375,270878,$5.80 ,770.00%,7236
12/1/96,5401.7,271125,$5.70 ,780.00%,7253
1/1/97,5434.9,271360,$5.60 ,780.00%,7158
2/1/97,5457.7,271585,$5.70 ,810.00%,7102
3/1/97,5477.6,271821,$5.80 ,790.00%,7000
4/1/97,5482.8,272083,$5.90 ,830.00%,6873
5/1/97,5484.3,272342,$6.20 ,800.00%,6655
6/1/97,5518.2,272622,$6.00 ,800.00%,6799
7/1/97,5573,272912,$5.50 ,830.00%,6655
8/1/97,5611.8,273237,$5.40 ,780.00%,6608
9/1/97,5625.6,273553,$5.60 ,820.00%,6656
10/1/97,5661.2,273852,$5.60 ,770.00%,6454
11/1/97,5685.2,274126,$5.80 ,760.00%,6308
12/1/97,5716.4,274372,$5.80 ,750.00%,6476
1/1/98,5714.4,274626,$6.70 ,740.00%,6368
2/1/98,5748.4,274838,$6.80 ,700.00%,6306
3/1/98,5775,275047,$6.90 ,680.00%,6422
4/1/98,5812.9,275304,$6.60 ,670.00%,5941
5/1/98,5863.3,275564,$6.30 ,600.00%,6047
6/1/98,5897.2,275836,$6.20 ,690.00%,6212
7/1/98,5915.6,276115,$6.30 ,670.00%,6259
8/1/98,5951,276418,$6.20 ,680.00%,6179
9/1/98,5991.8,276714,$5.80 ,670.00%,6300
10/1/98,6025.8,277003,$5.60 ,580.00%,6280
11/1/98,6042.7,277277,$5.70 ,660.00%,6100
12/1/98,6098.2,277526,$5.20 ,680.00%,6032
1/1/99,6099.1,277790,$5.70 ,690.00%,5976
2/1/99,6128.2,277992,$5.60 ,680.00%,6111
3/1/99,6159.7,278198,$5.30 ,680.00%,5783
4/1/99,6223.6,278451,$4.50 ,620.00%,6004
5/1/99,6253.4,278717,$4.30 ,650.00%,5796
6/1/99,6281.9,279001,$4.20 ,630.00%,5951
7/1/99,6309.5,279295,$4.10 ,580.00%,6025
8/1/99,6354.8,279602,$4.00 ,650.00%,5838
9/1/99,6407.4,279903,$3.50 ,600.00%,5915
10/1/99,6431.2,280203,$3.90 ,610.00%,5778
11/1/99,6467.2,280471,$4.10 ,620.00%,5716
12/1/99,6568.2,280716,$3.70 ,580.00%,5653
1/1/00,6564.7,280976,$4.70 ,580.00%,5708
2/1/00,6648.7,281190,$4.20 ,610.00%,5858
3/1/00,6714.8,281409,$3.90 ,600.00%,5733
4/1/00,6701,281653,$4.40 ,610.00%,5481
5/1/00,6737.2,281877,$4.20 ,580.00%,5758
6/1/00,6773.6,282126,$4.20 ,570.00%,5651
7/1/00,6793.7,282385,$4.60 ,600.00%,5747
8/1/00,6828.7,282653,$4.60 ,630.00%,5853
9/1/00,6913.1,282932,$3.80 ,520.00%,5625
10/1/00,6919.6,283201,$4.00 ,610.00%,5534
11/1/00,6934.5,283453,$3.80 ,610.00%,5639
12/1/00,6979.1,283696,$3.50 ,600.00%,5634
1/1/01,7009.8,283920,$4.00 ,580.00%,6023
2/1/01,7029.3,284137,$4.10 ,610.00%,6089
3/1/01,7022.1,284350,$4.50 ,660.00%,6141
4/1/01,7036.2,284581,$4.30 ,590.00%,6271
5/1/01,7083.1,284810,$3.70 ,630.00%,6226
6/1/01,7097.1,285062,$3.70 ,600.00%,6484
7/1/01,7109.2,285309,$5.00 ,680.00%,6583
8/1/01,7146.1,285570,$6.10 ,690.00%,7042
9/1/01,7054.8,285843,$6.30 ,720.00%,7142
10/1/01,7250.2,286098,$2.70 ,730.00%,7694
11/1/01,7209.6,286341,$3.40 ,770.00%,8003
12/1/01,7190,286570,$3.80 ,820.00%,8258
1/1/02,7217.7,286788,$5.60 ,840.00%,8182
2/1/02,7259.7,286994,$5.30 ,830.00%,8215
3/1/02,7276.7,287190,$5.30 ,840.00%,8304
4/1/02,7345.6,287397,$5.10 ,890.00%,8599
5/1/02,7321.8,287623,$5.60 ,950.00%,8399
6/1/02,7366.1,287864,$5.40 ,1100.00%,8393
7/1/02,7424.2,288105,$4.60 ,890.00%,8390
8/1/02,7449,288360,$4.40 ,900.00%,8304
9/1/02,7426.1,288618,$4.90 ,950.00%,8251
10/1/02,7469.3,288870,$4.70 ,960.00%,8307
11/1/02,7499.8,289106,$4.70 ,930.00%,8520
12/1/02,7552.6,289313,$4.50 ,960.00%,8640
1/1/03,7579.5,289518,$4.50 ,960.00%,8520
2/1/03,7573.6,289714,$4.70 ,950.00%,8618
3/1/03,7627.5,289911,$4.60 ,970.00%,8588
4/1/03,7661.7,290125,$4.60 ,1020.00%,8842
5/1/03,7669.2,290346,$5.10 ,990.00%,8957
6/1/03,7722.9,290584,$4.90 ,1150.00%,9266
7/1/03,7783.8,290820,$5.50 ,1030.00%,9011
8/1/03,7878.9,291072,$5.30 ,1010.00%,8896
9/1/03,7874,291321,$4.50 ,1020.00%,8921
10/1/03,7890.6,291574,$4.60 ,1040.00%,8732
11/1/03,7950.4,291807,$4.70 ,1030.00%,8576
12/1/03,7974.3,292008,$4.80 ,1040.00%,8317
1/1/04,8037.3,292192,$4.50 ,1060.00%,8370
2/1/04,8072.1,292368,$4.50 ,1020.00%,8167
3/1/04,8121,292561,$4.50 ,1020.00%,8491
4/1/04,8141.6,292779,$4.70 ,950.00%,8170
5/1/04,8212.9,292997,$4.70 ,990.00%,8212
6/1/04,8204.6,293223,$5.00 ,1100.00%,8286
7/1/04,8270.7,293463,$4.50 ,890.00%,8136
8/1/04,8294.4,293719,$4.60 ,920.00%,7990
9/1/04,8373,293971,$3.90 ,960.00%,7927
10/1/04,8417.9,294230,$3.80 ,950.00%,8061
11/1/04,8458.4,294466,$3.40 ,970.00%,7932
12/1/04,8516.5,294694,$6.30 ,950.00%,7934
1/1/05,8521.2,294914,$2.90 ,940.00%,7784
2/1/05,8575.7,295105,$2.70 ,920.00%,7980
3/1/05,8622.5,295287,$2.70 ,930.00%,7737
4/1/05,8715.9,295490,$2.10 ,900.00%,7672
5/1/05,8680.6,295704,$3.00 ,910.00%,7651
6/1/05,8775.3,295936,$2.20 ,900.00%,7524
7/1/05,8867.9,296186,$1.90 ,880.00%,7406
8/1/05,8872.6,296440,$2.40 ,920.00%,7345
9/1/05,8923.6,296707,$2.30 ,840.00%,7553
10/1/05,8959.6,296972,$2.60 ,860.00%,7453
11/1/05,8987.7,297207,$2.70 ,850.00%,7566
12/1/05,9026.8,297431,$2.80 ,870.00%,7279
1/1/06,9100.1,297647,$3.70 ,860.00%,7064
2/1/06,9134.7,297854,$3.80 ,910.00%,7184
3/1/06,9168.1,298060,$3.70 ,870.00%,7072
4/1/06,9223.3,298281,$3.40 ,840.00%,7120
5/1/06,9254.1,298496,$3.20 ,850.00%,6980
6/1/06,9283.8,298739,$3.40 ,730.00%,7001
7/1/06,9360.4,298996,$2.90 ,800.00%,7175
8/1/06,9368.6,299263,$3.00 ,840.00%,7091
9/1/06,9393.9,299554,$3.00 ,800.00%,6847
10/1/06,9413.3,299835,$3.10 ,790.00%,6727
11/1/06,9431.2,300094,$3.20 ,830.00%,6872
12/1/06,9516.5,300340,$3.00 ,750.00%,6762
1/1/07,9553.1,300574,$3.00 ,830.00%,7116
2/1/07,9590.8,300802,$3.30 ,850.00%,6927
3/1/07,9631.6,301021,$3.60 ,910.00%,6731
4/1/07,9670.6,301254,$3.20 ,860.00%,6850
5/1/07,9708.9,301483,$3.00 ,820.00%,6766
6/1/07,9723.3,301739,$2.80 ,770.00%,6979
7/1/07,9759.6,302004,$2.80 ,870.00%,7149
8/1/07,9800.6,302267,$2.60 ,880.00%,7067
9/1/07,9837.5,302546,$2.80 ,870.00%,7170
10/1/07,9853.9,302807,$2.80 ,840.00%,7237
11/1/07,9928.6,303054,$2.50 ,860.00%,7240
12/1/07,9947.6,303287,$3.00 ,840.00%,7645
