Id,sex,age,sibsp,parch,ticket,fare,cabin,embarked
341,female,4,2,1,230136,39,F4,S
342,female,12,2,1,230136,39,F4,S
343,female,36,0,3,230136,39,F4,S
344,male,34,0,0,248698,13,D56,S
345,female,19,0,0,28404,13,,S
346,male,23,0,0,28425,13,,S
347,male,26,0,0,237670,13,,S
348,male,42,0,0,211535,13,,S
349,male,27,0,0,220367,13,,S
350,female,24,0,0,248733,13,F33,S
351,female,15,0,2,29750,39,,S
352,male,60,1,1,29750,39,,S
353,female,40,1,1,29750,39,,S
354,female,20,1,0,236853,26,,S
355,male,25,1,0,236853,26,,S
356,female,36,0,0,27849,13,,S
357,male,25,0,0,234686,13,,S
358,male,42,0,0,244310,13,,S
359,female,42,0,0,236852,13,,S
360,male,0.8333,0,2,248738,29,,S
361,male,26,1,1,248738,29,,S
362,female,22,1,1,248738,29,,S
363,female,35,0,0,F.C.C. 13528,21,,S
364,male,,0,0,239853,0,,S
365,male,19,0,0,28424,13,,S
366,female,44,1,0,244252,26,,S
367,male,54,1,0,244252,26,,S
368,male,52,0,0,248731,13.5,,S
369,male,37,1,0,SC/AH 29037,26,,S
370,female,29,1,0,SC/AH 29037,26,,S
371,female,25,1,1,237789,30,,S
372,female,45,0,2,237789,30,,S
373,male,29,1,0,2003,26,,S
374,female,28,1,0,2003,26,,S
375,male,29,0,0,W./C. 14263,10.5,,S
376,male,28,0,0,248740,13,,S
377,male,24,0,0,28034,10.5,,S
378,female,8,0,2,C.A. 31921,26.25,,S
379,male,31,1,1,C.A. 31921,26.25,,S
380,female,31,1,1,C.A. 31921,26.25,,S
381,female,22,0,0,W./C. 14266,10.5,F33,S
382,female,30,0,0,237249,13,,S
383,female,,0,0,F.C.C. 13534,21,,S
384,male,21,0,0,29107,11.5,,S
385,male,,0,0,239853,0,,S
386,male,8,1,1,C.A. 33112,36.75,,S
387,male,18,0,0,S.O.C. 14879,73.5,,S
388,female,48,0,2,C.A. 33112,36.75,,S
389,female,28,0,0,237668,13,,S
390,male,32,0,0,244360,13,,S
391,male,17,0,0,S.O.C. 14879,73.5,,S
392,male,29,1,0,SC/PARIS 2167,27.7208,,C
393,female,24,1,0,SC/PARIS 2167,27.7208,,C
394,male,25,0,0,C.A. 31029,31.5,,S
395,male,18,0,0,S.O.C. 14879,73.5,,S
396,female,18,0,1,231919,23,,S
397,female,34,0,1,231919,23,,S
398,male,54,0,0,28403,26,,S
399,male,8,0,2,28220,32.5,,S
400,male,42,1,1,28220,32.5,,S
401,female,34,1,1,28220,32.5,,S
402,female,27,1,0,SC/PARIS 2149,13.8583,,C
403,female,30,1,0,SC/PARIS 2148,13.8583,,C
404,male,23,0,0,29751,13,,S
405,male,21,0,0,236854,13,,S
406,male,18,0,0,236171,13,,S
407,male,40,1,0,2926,26,,S
408,female,29,1,0,2926,26,,S
409,male,18,0,0,C.A. 15185,10.5,,S
410,male,36,0,0,229236,13,,S
411,male,,0,0,239854,0,,S
412,female,38,0,0,237671,13,,S
413,male,35,0,0,239865,26,,S
414,male,38,1,0,28664,21,,S
415,male,34,1,0,28664,21,,S
416,female,34,0,0,243880,13,,S
417,male,16,0,0,239865,26,,S
418,male,26,0,0,31028,10.5,,S
419,male,47,0,0,C.A. 30769,10.5,,S
420,male,21,1,0,28133,11.5,,S
421,male,21,1,0,28134,11.5,,S
422,male,24,0,0,248726,13.5,,S
423,male,24,0,0,233866,13,,S
424,male,34,0,0,12233,13,,S
425,male,30,0,0,250646,13,,S
426,male,52,0,0,250647,13,,S
427,male,30,0,0,250653,13,,S
428,male,0.6667,1,1,250649,14.5,,S
429,female,24,0,2,250649,14.5,,S
430,male,44,0,0,248746,13,,S
431,female,6,0,1,248727,33,,S
432,male,28,0,1,248727,33,,S
433,male,62,0,0,S.W./PP 752,10.5,,S
434,male,30,0,0,W/C 14208,10.5,,S
435,female,7,0,2,F.C.C. 13529,26.25,,S
436,male,43,1,1,F.C.C. 13529,26.25,,S
437,female,45,1,1,F.C.C. 13529,26.25,,S
438,female,24,1,2,220845,65,,S
439,female,24,1,2,220845,65,,S
440,male,49,1,2,220845,65,,S
441,female,48,1,2,220845,65,,S
442,female,55,0,0,248706,16,,S
443,male,24,2,0,S.O.C. 14879,73.5,,S
444,male,32,2,0,S.O.C. 14879,73.5,,S
445,male,21,2,0,S.O.C. 14879,73.5,,S
446,female,18,1,1,250650,13,,S
447,female,20,2,1,29105,23,,S
448,male,23,2,1,29104,11.5,,S
449,male,36,0,0,242963,13,,S
450,female,54,1,3,29105,23,,S
451,male,50,0,0,250643,13,,S
452,male,44,1,0,26707,26,,S
453,female,29,1,0,26707,26,,S
454,male,21,0,0,S.O.C. 14879,73.5,,S
455,male,42,0,0,237798,13,,S
456,male,63,1,0,24065,26,,S
457,female,60,1,0,24065,26,,S
458,male,33,0,0,SCO/W 1585,12.275,,S
459,female,17,0,0,SO/C 14885,10.5,,S
460,male,42,1,0,243847,27,,S
461,female,24,2,1,243847,27,,S
462,male,47,0,0,237565,15,,S
463,male,24,2,0,C.A. 31029,31.5,,S
464,male,22,2,0,C.A. 31029,31.5,,S
465,male,32,0,0,C.A. 33111,10.5,,S
466,female,23,0,0,SC/AH Basle 541,13.7917,D,C
467,male,34,1,0,244367,26,,S
468,female,24,1,0,244367,26,,S
469,female,22,0,0,F.C.C. 13534,21,,S
470,female,,0,0,226593,12.35,E101,Q
471,male,35,0,0,233734,12.35,,Q
472,female,45,0,0,223596,13.5,,S
473,male,57,0,0,219533,12.35,,Q
474,male,,0,0,239855,0,,S
475,male,31,0,0,C.A. 18723,10.5,,S
476,female,26,1,1,250651,26,,S
477,male,30,1,1,250651,26,,S
478,male,,0,0,240261,10.7083,,Q
479,female,1,1,2,SC/Paris 2123,41.5792,,C
480,female,3,1,2,SC/Paris 2123,41.5792,,C
481,male,25,1,2,SC/Paris 2123,41.5792,,C
482,female,22,1,2,SC/Paris 2123,41.5792,,C
483,female,17,0,0,SC 1748,12,,C
484,female,,0,0,248727,33,,S
485,female,34,0,0,C.A. 34260,10.5,F33,S
486,male,36,0,0,SC/Paris 2163,12.875,D,C
487,male,24,0,0,C.A. 29566,10.5,,S
488,male,61,0,0,235509,12.35,,Q
489,male,50,1,0,SC/AH 3085,26,,S
490,female,42,1,0,SC/AH 3085,26,,S
491,female,57,0,0,S.O./P.P. 3,10.5,E77,S
492,male,,0,0,237735,15.0458,D,C
493,male,1,0,2,S.C./PARIS 2079,37.0042,,C
494,male,31,1,1,S.C./PARIS 2079,37.0042,,C
495,female,24,1,1,S.C./PARIS 2079,37.0042,,C
496,male,,0,0,SC/A.3 2861,15.5792,,C
497,male,30,0,0,28228,13,,S
498,male,40,0,0,239059,16,,S
499,male,32,0,0,237216,13.5,,S
500,male,30,0,0,233478,13,,S
501,male,46,0,0,28403,26,,S
502,female,13,0,1,250644,19.5,,S
503,female,41,0,1,250644,19.5,,S
504,male,19,0,0,SW/PP 751,10.5,,S
505,male,39,0,0,248723,13,,S
506,male,48,0,0,234360,13,,S
507,male,70,0,0,C.A. 24580,10.5,,S
508,male,27,0,0,211536,13,,S
509,male,54,0,0,29011,14,,S
510,male,39,0,0,250655,26,,S
511,male,16,0,0,S.O./P.P. 3,10.5,,S
512,male,62,0,0,240276,9.6875,,Q
513,male,32.5,1,0,237736,30.0708,,C
514,female,14,1,0,237736,30.0708,,C
515,male,2,1,1,230080,26,F2,S
516,male,3,1,1,230080,26,F2,S
517,male,36.5,0,2,230080,26,F2,S
518,male,26,0,0,244368,13,F2,S
519,male,19,1,1,C.A. 33112,36.75,,S
520,male,28,0,0,218629,13.5,,S
521,male,20,0,0,SC/PARIS 2166,13.8625,D38,C
522,female,29,0,0,C.A. 29395,10.5,F33,S
523,male,39,0,0,28213,13,,S
524,male,22,0,0,W./C. 14260,10.5,,S
525,male,,0,0,SC/PARIS 2146,13.8625,,C
526,male,23,0,0,244278,10.5,,S
527,male,29,0,0,SC/PARIS 2147,13.8583,,C
528,male,28,0,0,SC 14888,10.5,,S
529,male,,0,0,239853,0,,S
530,female,50,0,1,230433,26,,S
531,male,19,0,0,28665,10.5,,S
532,male,,0,0,SC/PARIS 2131,15.05,,C
533,male,41,0,0,237393,13,,S
534,female,21,0,1,S.O./P.P. 2,21,,S
535,female,19,0,0,250655,26,,S
536,male,43,0,1,S.O./P.P. 2,21,,S
537,female,32,0,0,234604,13,,S
538,male,34,0,0,250647,13,,S
539,male,30,0,0,C.A. 34644,12.7375,,C
540,male,27,0,0,SC/PARIS 2168,15.0333,,C
541,female,2,1,1,26360,26,,S
542,female,8,1,1,26360,26,,S
543,female,33,0,2,26360,26,,S
544,male,36,0,0,C.A. 17248,10.5,,S
545,male,34,1,0,31027,21,,S
546,female,30,3,0,31027,21,,S
547,female,28,0,0,230434,13,,S
548,male,23,0,0,SC/PARIS 2133,15.0458,,C
549,male,0.8333,1,1,29106,18.75,,S
550,male,3,1,1,29106,18.75,,S
551,female,24,2,3,29106,18.75,,S
552,female,50,0,0,W./C. 14258,10.5,,S
553,male,19,0,0,28004,10.5,,S
554,female,21,0,0,C.A. 31026,10.5,,S
555,male,26,0,0,248659,13,,S
556,male,25,0,0,244361,13,,S
557,male,27,0,0,244358,26,,S
558,female,25,0,1,230433,26,,S
559,female,18,0,2,250652,13,,S
560,female,20,0,0,C.A. 33112,36.75,,S
561,female,30,0,0,250648,13,,S
562,male,59,0,0,237442,13.5,,S
563,female,30,0,0,234818,12.35,,Q
564,male,35,0,0,28206,10.5,,S
565,female,40,0,0,31418,13,,S
566,male,25,0,0,C.A. 29178,13,,S
567,male,41,0,0,237734,15.0458,,C
568,male,25,0,0,F.C.C. 13540,10.5,,S
569,male,18.5,0,0,248734,13,F,S
570,male,14,0,0,220845,65,,S
571,female,50,0,0,F.C.C. 13531,10.5,,S
572,male,23,0,0,233639,13,,S
573,female,28,0,0,240929,12.65,,S
574,female,27,0,0,34218,10.5,E101,S
575,male,29,1,0,11668,21,,S
576,female,27,1,0,11668,21,,S
577,male,40,0,0,28221,13,,S
578,female,31,0,0,F.C.C. 13528,21,,S
579,male,30,1,0,CA 31352,21,,S
580,male,23,1,0,28666,10.5,,S
581,female,31,0,0,CA 31352,21,,S
582,male,,0,0,239856,0,,S
583,female,12,0,0,C.A. 33595,15.75,,S
584,female,40,0,0,C.A. 33595,15.75,,S
585,female,32.5,0,0,27267,13,E101,S
586,male,27,1,0,228414,26,,S
587,female,29,1,0,228414,26,,S
588,male,2,1,1,29103,23,,S
589,female,4,1,1,29103,23,,S
590,female,29,0,2,29103,23,,S
591,female,0.9167,1,2,C.A. 34651,27.75,,S
592,female,5,1,2,C.A. 34651,27.75,,S
593,male,36,1,2,C.A. 34651,27.75,,S
594,female,33,1,2,C.A. 34651,27.75,,S
595,male,66,0,0,C.A. 24579,10.5,,S
596,male,,0,0,SC/PARIS 2159,12.875,,S
597,male,31,0,0,244270,13,,S
598,male,,0,0,244373,13,,S
599,female,26,0,0,220844,13.5,,S
600,female,24,0,0,248747,13,,S
601,male,42,0,0,C.A. 5547,7.55,,S
602,male,13,0,2,C.A. 2673,20.25,,S
603,male,16,1,1,C.A. 2673,20.25,,S
604,female,35,1,1,C.A. 2673,20.25,,S
605,female,16,0,0,348125,7.65,,S
606,male,25,0,0,348122,7.65,F G63,S
607,male,20,0,0,SOTON/O2 3101284,7.925,,S
608,female,18,0,0,2657,7.2292,,C
609,male,30,0,0,C 7076,7.25,,S
610,male,26,0,0,341826,8.05,,S
611,female,40,1,0,7546,9.475,,S
612,male,0.8333,0,1,392091,9.35,,S
613,female,18,0,1,392091,9.35,,S
614,male,26,0,0,2699,18.7875,,C
615,male,26,0,0,3474,7.8875,,S
616,male,20,0,0,SOTON/O2 3101287,7.925,,S
617,male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
618,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S
619,male,35,0,0,373450,8.05,,S
620,male,18,0,0,2223,8.3,,S
621,male,32,0,0,C 4001,22.525,,S
622,female,19,1,0,350046,7.8542,,S
623,male,4,4,2,347082,31.275,,S
624,female,6,4,2,347082,31.275,,S
625,female,2,4,2,347082,31.275,,S
626,female,17,4,2,3101281,7.925,,S
627,female,38,4,2,347091,7.775,,S
628,female,9,4,2,347082,31.275,,S
